,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Alta Floresta,BR,71.2,overcast clouds,-9.87,-56.08,Floresta Amazonica Hotel
206,The Valley,AI,80.6,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
209,Sao Joao Do Piaui,BR,77.74,broken clouds,-8.36,-42.25,Nayra Palace Hotel
218,Bo Phloi,TH,79.75,overcast clouds,14.32,99.52,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
220,Hambantota,LK,87.8,scattered clouds,6.12,81.12,Bungalow 63
228,Urucui,BR,79.54,broken clouds,-7.23,-44.56,Formula Flat Uruçui
231,Ustupo,PA,73.83,overcast clouds,9.13,-77.93,
247,Namatanai,PG,84.31,overcast clouds,-3.66,152.44,Namatanai Hotel
248,Gushikawa,JP,78.8,few clouds,26.35,127.87,Uruma - Hotel / Vacation STAY 15225
249,Dehloran,IR,76.41,clear sky,32.69,47.27,مسافرخانه قدس(عبدالله خداکرمی)
256,Dano,BF,76.82,clear sky,11.14,-3.06,
259,Umm Lajj,SA,81.61,clear sky,25.02,37.27,Tanal Hotel Apartment
260,Inirida,CO,73.08,scattered clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
261,Noumea,NC,80.6,clear sky,-22.28,166.46,Hôtel Le Lagon
264,Hennenman,ZA,71.08,few clouds,-27.97,27.03,Die Ou Wingerdstok Gastehuis
265,Sawakin,SD,86.49,clear sky,19.1,37.33,Arab Plaza Hotel عرب بلازا هوتيل
268,Kamina,CD,71.17,overcast clouds,-8.74,25.0,
275,Auki,NG,71.96,clear sky,12.18,6.51,
276,Caucaia,BR,80.6,scattered clouds,-3.73,-38.66,M.O.S. Logística - Filial Fortaleza
